Sneaker_Name,Release_Date,Retail_Price,SKU,Sneaker_Model,Sneaker_Colorway
Futurecraft 4D 'Core Black' 2021,2021-03-19,220.0,FZ2560,Futurecraft 4D,Core Black/Grey Three/Linen Green
Futurecraft 4D 'Black Carbon',2021-07-07,220.0,Q46228,Futurecraft 4D,Core Black/Carbon/Core Black
ZX 2K 4D 'Triple White',1960-01-01,0.0,FW2002,ZX 2K 4D,Cloud White/Cloud White/Cloud White
Ultra 4D 5.0 'Cookies And Cream',2020-12-12,200.0,G58158,Ultra 4D,Core Black/Cloud White/Carbon
4D Fusio 'Screaming Orange',2021-04-01,200.0,FY5929,4D Fusio,Screaming Orange/Core Black/Solar Red
Futurecraft 4D 'Crystal White',2021-09-07,220.0,Q46229,Futurecraft 4D,Crystal White/Chalk White/Core Black
Ultra 4D 'Dash Grey Halo Silver',1960-01-01,220.0,GY2448,Ultra 4D,Dash Grey/Halo Silver/Core Black
4D Fusio 'Black Silver Metallic',2021-12-23,200.0,H04512,4D Fusio,Core Black/Silver Metallic/Carbon
Stella McCartney x Wmns Alphaedge 4D 'Core White True Orange',2019-07-01,450.0,G25869,AlphaEdge 4D,Core White/True Orange/Core Black
Sneakersnstuff x Ultra 4D,2020-12-11,250.0,FY5631,Ultra 4D,
Parley x Ultra 4D Uncaged 'Black Blue Spirit',2020-05-18,200.0,FX2434,Ultra 4d,Core Black/Core Black/Blue Spirit
"ZX 4000 4D 'I Want, I Can'",2019-12-05,350.0,EF9625,ZX 4000,Core Black/Solar Red/Volt
Futurecraft 4D 'Linen Green Carbon',2022-09-03,220.0,GX6603,Futurecraft 4D,Linen Green/Zero Metalic/Carbon
Ultra 4D 'Triple Black',2020-09-30,220.0,FY4286,Ultra 4D,Core Black/Core Black/Carbon
Ultra 4D 5.0 'Carbon',2020-12-12,220.0,G58160,Ultra 4D,Core Black/Core Black/Carbon
Ultra 4D 'OG',2020-08-13,220.0,FW7089,Ultra 4D,Core Black/Core Black/Gold Metallic
END. x EVO 4D 'Dark Matter',2020-11-26,280.0,FX0549,4D Runner,Core Black/Core Black/Core Black
Parley x 4D Run 1.0 LTD 'White Iridescent',2020-05-08,200.0,FW1229,4D Runner,Cloud White/Cloud White/Cloud White
4D Run 1.0 LTD 'Dash Grey',2020-06-08,200.0,FW1230,4D Runner,Dash Grey/Signal Coral/Blue Spirit
Wmns FutureCraft 4D 'Ash Green',2018-01-18,300.0,B75941,Futurecraft 4D,Core Black/Grey Five/Ash Green
ZX 2K 4D 'Core Black',2020-06-19,250.0,FV9027,ZX 2K 4D,Core Black/Core Black/Core Black
Sneakersnstuff x Ultra 4D 'Tee Time',2021-05-05,250.0,FY7006,Ultra 4D,
Quest 4D GTX Advanced 'Kangaroo',1960-01-01,0.0,413098,Quest 4D,Kangaroo/Kangaroo/Chinchilla
Futurecraft 4D 'Black Carbon Turbo',2022-04-18,220.0,GZ8626,Futurecraft 4D,Core Black/Carbon/Turbo
NASA x Ultra 4D 'Halo Silver',2020-12-03,220.0,FX7753,Ultra 4D,Halo Silver/Silver Metallic/Solar Red
AlphaEdge 4D 'Reflective Core Black',2019-11-11,300.0,FV4686,AlphaEdge 4D,Core Black/Cloud White/Core Black
ZX 4000 4D 'Easy Mint',2019-08-22,350.0,EF9623,ZX 4000,Hi Res Yellow/Linen Green/Easy Mint
Ultra 4D 'Arizona State',2021-09-23,220.0,FY3960,Ultra 4D,Maroon/Core Black/Semi Solar Gold
Y-3 Runner 4D IOW 'Black',2021-04-07,500.0,FZ4502,4D Runner,Black/Black/Core White
Ultra 4D 'Chalk White',2020-12-14,220.0,FX4089,Ultra 4D,Chalk White/Chalk White/Cloud White
Pharrell Williams x 4D Runner 'Active Purple',2020-01-11,400.0,FV6335,4D Runner,Active Purple/White Tint
Futurecraft 4D 'Friends & Family',2018-09-21,0.0,F34444,Futurecraft 4D,Onyx/Aero Green/Onyx
ZX 4000 Futurecraft 4D 'Carbon',2019-04-06,350.0,BD7865,ZX 4000,Carbon/Carbon/Semi Solar Yellow
Star Wars x Alphaedge 4D 'Death Star',2019-11-21,300.0,FV4685,AlphaEdge 4D,Core Black/Cloud White/Clear Onix
Sneakersnstuff x ZX 4000 4D 'Sunrise',2019-11-09,300.0,FV5524,ZX 4000,Flaming Orange/Flaming Orange/Active Maroon
Ultra 4D 'Lemon Twist',2021-12-03,220.0,GX6366,Ultra 4D,Core White/Almost Lime/Silver Metallic
Ultra 4D 5.0 'Black Solar Red',2020-12-12,200.0,G58159,Ultra 4D,Core Black/Core Black/Solar Red
ZX 2K 4D 'Grey Solar Orange',2020-10-21,200.0,FY9089,ZX 2K 4D,Grey Four/Core Black/Solar Orange
Daniel Arsham x Futurecraft 4D 'Aero Green',2018-10-12,450.0,BD7400,Futurecraft 4D,Aero Green
Stella McCartney x Wmns AlphaEdge 4D 'Soft Powder',2020-08-20,300.0,FU8963,AlphaEdge 4D,Soft Powder/Signal Orange/Cloud White
